time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-08-25 13:30:00,SH000300,沪深300,4560.01,-0.07,63799510016.0,0,-2,-1,2,507956623183.46,0.83,1.23,0.85,0.8154,171,121,58.56,360923836416.0,442658295808.0,436083327385.6,,0.23,-15.0,0
2026-08-25 13:30:00,SH000016,上证50,2876.12,0.19,19043167744.0,0,-2,-1,2,142958334538.51,0.84,1.3,0.85,0.7862,24,21,53.33,102027824896.0,129767356416.0,121368756224.0,,0.26,-4.0,0
2026-08-25 11:30:00,SH000300,沪深300,4542.25,-0.46,33328076288.0,-2,-2,-1,-1,452442563275.98,0.77,0.77,0.76,0.7469,144,149,49.15,297124326400.0,397826895872.0,384085449523.2,,-0.08,-17.0,-5
2026-08-25 11:30:00,SH000906,中证800,5075.33,-0.53,51936838144.0,-2,-2,-1,2,747158231758.93,0.77,0.71,0.74,0.7775,0,0,0.0,503913915904.0,648130838528.0,657542204620.8,,0.01,-23.0,-2
2026-08-25 11:30:00,SZ399903,中证100,4419.69,-0.51,18806230784.0,-2,-2,-1,-1,242568201637.29,0.8,0.83,0.79,0.7359,51,48,51.52,157038678528.0,213389813760.0,197026756812.8,,-0.24,-19.0,-5
2026-08-25 11:30:00,SH000016,上证50,2867.66,-0.11,8618987392.0,0,-2,-1,2,124066870078.1,0.78,0.67,0.74,0.7103,24,25,48.98,82984657152.0,116835874816.0,106682525286.4,,0.0,-6.0,0
2026-08-25 11:00:00,SH000016,上证50,2862.5,-0.29,11204067456.0,-2,-2,-1,2,127605859852.12,0.79,0.66,0.76,0.7259,21,29,42.0,74365669760.0,102451931136.0,93881479782.4,,-0.29,-7.0,-2
2026-08-25 11:00:00,SH000300,沪深300,4533.37,-0.65,44785251328.0,-2,-2,-1,-1,450598044672.41,0.77,0.73,0.76,0.7534,132,158,45.52,263796250112.0,350130434048.0,340795620556.8,,-0.65,-18.0,-5
2026-08-25 11:00:00,SH000906,中证800,5060.57,-0.82,72900586496.0,-2,-2,-1,-1,756920401543.5,0.77,0.7,0.75,0.7911,0,0,0.0,451977077760.0,571349475328.0,584704014745.6,,-0.82,-24.0,-5
2026-08-25 11:00:00,SZ399903,中证100,4413.09,-0.66,23586186496.0,-2,-2,-1,-1,238319640674.49,0.79,0.75,0.77,0.7369,45,52,46.39,138232447744.0,187579305984.0,174347218534.4,,-0.66,-19.0,-5
2026-08-25 10:30:00,SH000906,中证800,5082.52,-0.39,116373512192.0,-2,-2,-1,2,781275505542.1,0.79,0.74,0.78,0.8175,0,0,0.0,379076491264.0,463725871104.0,481113548390.4,,-0.07,-24.0,-2
2026-08-25 10:30:00,SH000300,沪深300,4549.72,-0.29,68118233600.0,-2,-2,-1,-1,459047129888.77,0.78,0.73,0.77,0.7748,135,148,47.7,219010998784.0,282669973504.0,279354775961.6,,-0.05,-17.0,-5
2026-08-25 10:30:00,SH000016,上证50,2868.67,-0.07,20109674240.0,-2,-2,-1,2,135981468983.99,0.82,0.76,0.81,0.7803,25,23,52.08,63161602304.0,80941221888.0,76848915251.2,,0.09,-7.0,-2
2026-08-25 10:30:00,SZ399903,中证100,4431.23,-0.25,35766730240.0,-2,-2,-1,-1,242537414963.65,0.8,0.74,0.79,0.7554,51,45,53.12,114646261248.0,151776555008.0,142760244838.4,,-0.01,-19.0,-5
2026-08-25 10:00:00,SH000016,上证50,2867.76,-0.11,43051928064.0,-2,-2,-1,2,144137997796.52,0.86,0.86,0.86,0.7948,20,27,42.55,43051928064.0,54167207936.0,50334662656.0,,0.34,-8.0,-2
2026-08-25 10:00:00,SZ399903,中证100,4430.22,-0.28,78879531008.0,-2,-2,-1,-1,257037938249.75,0.83,0.83,0.83,0.7475,46,48,48.94,78879531008.0,105525493760.0,94475532697.6,,0.4,-19.0,-5
2026-08-25 10:00:00,SH000300,沪深300,4545.87,-0.38,150892765184.0,-2,-2,-1,-1,481181353131.62,0.81,0.81,0.81,0.7627,115,170,40.35,150892765184.0,197845041152.0,186585317376.0,,0.32,-18.0,-5
2026-08-25 10:00:00,SH000906,中证800,5075.02,-0.53,262702979072.0,-2,-2,-1,-1,814688292845.98,0.81,0.81,0.81,0.8026,0,0,0.0,262702979072.0,327333838848.0,324507490713.6,,0.28,-25.0,-5
