time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,composite_signal
2026-01-15 10:00:00,SH000698,科创100,1628.29,-0.42,24423435520.0,-1,-1,1,-1,79801809630.94,0.86,0.86,0.86,0.9394,44,55,44.44,24423435520.0,25998526464.0,28355975987.2,,-3
2026-01-15 10:00:00,SZ399303,国证2000,10851.78,-0.27,331499403264.0,-1,-1,1,-1,1035689256762.08,0.9,0.9,0.9,0.9247,0,0,0.0,331499403264.0,358507446272.0,367558849331.2,,-3
2026-01-15 10:00:00,SH000905,中证500,8242.726,0.18,212020226048.0,0,-1,1,-1,624390196767.13,0.91,0.91,0.91,0.8954,277,201,57.95,212020226048.0,236777472000.0,233121051443.2,,-2
2026-01-15 10:00:00,SZ399330,深证100,5957.57,0.53,81927486464.0,0,-1,1,-1,268571519586.14,0.81,0.81,0.81,0.9233,1369,1414,49.19,81927486464.0,88738062336.0,100845102694.4,,-2
2026-01-15 10:00:00,SZ399019,创业200,5117.4,-0.43,69622878720.0,0,-1,1,-1,216052127089.97,0.87,0.87,0.87,0.8216,0,0,0.0,69622878720.0,84740333568.0,80031712051.2,,-2
2026-01-14 15:00:00,SH000905,中证500,8227.696,1.04,60871189504.0,0,-1,1,-2,884437393227.28,1.28,0.95,1.38,1.1098,231,260,47.05,815959275008.0,735218786304.0,639876568678.4,,-3
2026-01-14 15:00:00,SH000698,科创100,1635.2,1.08,7796305024.0,-1,-1,1,-1,113041548307.13,1.2,0.89,1.29,1.0322,55,43,56.12,104930280832.0,101659675136.0,87683484569.6,,-3
2026-01-14 15:00:00,SZ399005,中小100,8746.668,0.18,22865976064.0,-1,-1,1,-1,316062427587.38,1.24,0.98,1.36,1.0697,0,0,0.0,289074445312.0,270247191552.0,232878299136.0,,-3
2026-01-14 15:00:00,SZ399019,创业200,5139.52,1.7,23125826048.0,0,2,1,-2,322761358493.61,1.33,0.94,1.44,1.0555,0,0,0.0,299365311232.0,283619787776.0,224420357734.4,,0
2026-01-14 15:00:00,SZ399850,深证50,9237.033,0.29,21899805440.0,-1,-1,-1,-1,275866485152.93,1.28,1.02,1.4,1.1499,25,24,51.02,253866264576.0,220772336640.0,197711234252.8,,-3
2026-01-14 15:00:00,SH000688,科创50,1500.91,2.13,8990255616.0,0,-1,1,-1,130382764478.16,1.27,0.9,1.33,1.186,371,220,62.77,123880671872.0,104449149952.0,97694263808.0,,-2
2026-01-14 15:00:00,SH000852,中证1000,8257.164,0.66,70264986624.0,-1,-1,1,-1,947563424656.59,1.23,0.89,1.32,1.0723,469,511,47.86,884281076736.0,824652001280.0,716169166848.0,,-3
2026-01-14 15:00:00,SH000699,科创200,1518.48,1.58,9146438144.0,0,-1,1,-1,122844500623.54,1.14,0.9,1.23,1.0429,0,0,0.0,113286635904.0,108623704064.0,99735731609.6,,-2
2026-01-14 15:00:00,SZ399673,创业50,3502.85,0.72,25240582912.0,-1,-1,1,-1,347311002707.56,1.22,0.94,1.34,1.0693,0,0,0.0,314691633408.0,294286287872.0,258415924633.6,,-3
2026-01-14 15:00:00,SZ399303,国证2000,10881.046,0.93,108869653504.0,0,-1,1,-1,1409605835345.76,1.23,0.9,1.32,1.0551,0,0,0.0,1309384197120.0,1241034448896.0,1067398027673.6,,-2
2026-01-14 15:00:00,SZ399330,深证100,5926.09,0.12,33144620544.0,-1,-1,-1,-1,413756921483.26,1.23,1.02,1.33,1.0515,1542,1300,54.26,380875237632.0,362226440192.0,310046400512.0,,-3
